epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.62299,1.84309,6.28933,1.76628,0.875,0.05843,0.08864,0.05732,1.73002,6.18933,1.75969,1.538e-05,1.538e-05,1.538e-05
2,5.52696,1.92572,6.11599,1.81067,0.74694,0.0625,0.10321,0.06818,1.71834,5.83893,1.71094,3.76887e-05,3.76887e-05,3.76887e-05
3,7.11598,1.68698,5.58992,1.67037,0.37811,0.14583,0.11675,0.08035,1.70022,5.8388,1.69585,5.90838e-05,5.90838e-05,5.90838e-05
4,8.35534,1.70811,3.76564,1.59982,0.44253,0.27394,0.21923,0.13448,1.70679,15.384,1.75798,7.95654e-05,7.95654e-05,7.95654e-05
5,9.5415,1.49606,2.71498,1.4498,0.3199,0.43993,0.37927,0.22788,1.59544,22.492,1.70774,9.91333e-05,9.91333e-05,9.91333e-05
6,10.7318,1.3966,2.46135,1.56279,0.75615,0.33964,0.39412,0.20362,1.59803,17.7014,1.73013,0.000117788,0.000117788,0.000117788
7,11.8589,1.39722,2.05107,1.421,0.79797,0.31888,0.42927,0.26147,1.45139,7.74944,1.63316,0.000135529,0.000135529,0.000135529
8,12.9976,1.52172,1.98402,1.48216,0.72421,0.36834,0.42959,0.26251,1.47241,5.35923,1.64522,0.000152356,0.000152356,0.000152356
9,14.0908,1.58843,2.05306,1.5265,0.64579,0.49432,0.47374,0.28677,1.50585,3.72777,1.62615,0.00016827,0.00016827,0.00016827
10,15.1815,1.38655,1.70169,1.34886,0.68634,0.45043,0.51683,0.30332,1.54708,3.41115,1.64585,0.00018327,0.00018327,0.00018327
11,16.2609,1.42807,1.61924,1.33191,0.48805,0.68182,0.60161,0.30908,1.54333,2.9481,1.61153,0.000197356,0.000197356,0.000197356
12,17.347,1.25125,1.45068,1.2824,0.67141,0.6984,0.74956,0.35269,1.55578,2.607,1.6,0.000210529,0.000210529,0.000210529
13,18.4246,1.27601,1.56471,1.25161,0.77556,0.6191,0.71969,0.35091,1.60948,2.29674,1.58965,0.000222789,0.000222789,0.000222789
14,19.4876,1.32402,1.51457,1.30836,0.79303,0.61577,0.71414,0.3421,1.63558,2.40887,1.59991,0.000234134,0.000234134,0.000234134
15,20.6143,1.2391,1.5425,1.27724,0.65097,0.71125,0.63658,0.34499,1.67879,2.46881,1.65505,0.000244567,0.000244567,0.000244567
16,21.6369,1.18475,1.35658,1.2376,0.82844,0.50862,0.61096,0.32998,1.68466,2.22649,1.66208,0.000254085,0.000254085,0.000254085
17,22.6546,1.21808,1.28412,1.29889,0.68062,0.58251,0.58396,0.30931,1.69423,2.26728,1.75738,0.00026269,0.00026269,0.00026269
18,23.6682,1.1498,1.45615,1.2612,0.87211,0.57405,0.69163,0.38009,1.66379,2.17525,1.76649,0.000270382,0.000270382,0.000270382
19,24.7258,1.1947,1.166,1.2294,0.82571,0.66504,0.71847,0.42362,1.64365,2.17677,1.72003,0.00027716,0.00027716,0.00027716
20,25.7975,1.1163,1.18683,1.23805,0.89421,0.66141,0.73285,0.41285,1.68546,2.16239,1.74022,0.000283024,0.000283024,0.000283024
21,26.8199,1.18276,1.15982,1.14337,0.76993,0.70265,0.74064,0.41957,1.68301,1.98656,1.75138,0.000287975,0.000287975,0.000287975
22,27.8536,1.14592,1.11854,1.23556,0.75322,0.69052,0.73647,0.43154,1.65341,1.79281,1.71655,0.000292012,0.000292012,0.000292012
23,28.8835,1.14168,1.07118,1.18635,0.81095,0.65791,0.73716,0.419,1.68323,1.66852,1.7311,0.000295136,0.000295136,0.000295136
24,29.8611,1.03897,1.05741,1.16367,0.79768,0.67127,0.73294,0.43122,1.69741,1.57548,1.73857,0.000297346,0.000297346,0.000297346
25,30.9008,1.25479,1.12049,1.3545,0.80983,0.69054,0.71009,0.43446,1.71086,1.64404,1.74633,0.000298643,0.000298643,0.000298643
26,31.9231,1.07144,0.96949,1.1411,0.72231,0.53639,0.59687,0.35726,1.70175,1.68868,1.73805,0.000299026,0.000299026,0.000299026
27,32.9109,0.9813,1.00725,1.15597,0.68668,0.54402,0.58994,0.33979,1.69795,1.69763,1.7379,0.000298495,0.000298495,0.000298495
28,33.8923,0.97899,0.91773,1.09661,0.75896,0.48459,0.56696,0.33272,1.67469,1.72133,1.71061,0.000297051,0.000297051,0.000297051
29,34.848,1.11152,0.93753,1.15877,0.75896,0.48459,0.56696,0.33272,1.67469,1.72133,1.71061,0.000294693,0.000294693,0.000294693
30,35.8696,1.0672,1.05468,1.25713,0.71179,0.52896,0.58279,0.3318,1.66841,1.72309,1.69584,0.000291422,0.000291422,0.000291422
31,36.8472,0.97365,0.95311,1.12509,0.67832,0.58297,0.60297,0.35208,1.66864,1.62565,1.69303,0.000287237,0.000287237,0.000287237
32,37.8709,0.98793,0.90202,1.12103,0.72649,0.71212,0.62851,0.36321,1.67142,1.57662,1.69279,0.000282138,0.000282138,0.000282138
33,38.83,0.95812,0.92506,1.13408,0.72649,0.71212,0.62851,0.36321,1.67142,1.57662,1.69279,0.000276126,0.000276126,0.000276126
34,39.8136,1.0058,0.89319,1.14273,0.7179,0.71212,0.65763,0.3826,1.67515,1.48573,1.7132,0.000266535,0.000266535,0.000266535
35,40.8029,0.94555,0.83336,1.06345,0.79211,0.7026,0.72211,0.41179,1.70096,1.44526,1.76355,0.000251309,0.000251309,0.000251309
36,41.8777,0.90274,0.79852,1.07285,0.68965,0.69531,0.66229,0.37266,1.67824,1.39341,1.75884,0.000236083,0.000236083,0.000236083
37,42.8479,0.91986,0.80592,1.11539,0.68965,0.69531,0.66229,0.37266,1.67824,1.39341,1.75884,0.000220857,0.000220857,0.000220857
38,43.8346,0.90559,0.75833,1.06652,0.69018,0.72348,0.65869,0.36414,1.68406,1.39377,1.77754,0.000205631,0.000205631,0.000205631
39,44.8239,0.95816,0.82383,1.1191,0.74281,0.51877,0.63898,0.33882,1.65407,1.40416,1.75226,0.000190404,0.000190404,0.000190404
40,45.8022,0.82987,0.72898,1.03685,0.746,0.51984,0.63536,0.3548,1.66661,1.43883,1.7674,0.000175178,0.000175178,0.000175178
41,69.0456,1.03096,1.02992,1.25506,0.746,0.51984,0.63536,0.3548,1.66661,1.43883,1.7674,0.000159952,0.000159952,0.000159952
42,70.0922,1.02703,0.94139,1.16024,0.85321,0.51595,0.6228,0.36656,1.64925,1.42162,1.73626,0.000144726,0.000144726,0.000144726
43,71.1027,0.98391,0.86518,1.13244,0.66753,0.68267,0.63776,0.39477,1.63431,1.40588,1.70928,0.0001295,0.0001295,0.0001295
44,72.1071,0.9006,0.80159,1.06943,0.65996,0.69523,0.63487,0.39379,1.59805,1.37481,1.67916,0.000114273,0.000114273,0.000114273
45,73.0534,0.81727,0.87511,1.03268,0.65996,0.69523,0.63487,0.39379,1.59805,1.37481,1.67916,9.90472e-05,9.90472e-05,9.90472e-05
46,74.1196,0.87028,0.85859,1.04678,0.66526,0.69724,0.62962,0.39321,1.60026,1.37638,1.66635,8.3821e-05,8.3821e-05,8.3821e-05
47,75.0837,0.79099,0.78525,1.03048,0.69482,0.69041,0.62783,0.39041,1.59234,1.37424,1.65819,6.85948e-05,6.85948e-05,6.85948e-05
48,76.0365,0.89029,0.78033,1.05985,0.66816,0.63456,0.62715,0.39384,1.57778,1.33971,1.63891,5.33686e-05,5.33686e-05,5.33686e-05
49,76.9669,0.90063,0.78548,1.05372,0.66816,0.63456,0.62715,0.39384,1.57778,1.33971,1.63891,3.81424e-05,3.81424e-05,3.81424e-05
50,77.9222,0.91787,0.86711,1.0341,0.69106,0.65057,0.62823,0.39309,1.5668,1.31632,1.62901,2.29162e-05,2.29162e-05,2.29162e-05
